Ref,Val,Package,PosX,PosY,Rot,Side
"D78","SOD-123","D_SOD-123",104.775000,49.150000,270.000000,bottom
"D79","SOD-123","D_SOD-123",123.825000,49.150000,270.000000,bottom
"D80","SOD-123","D_SOD-123",142.875000,49.150000,270.000000,bottom
"D81","SOD-123","D_SOD-123",161.925000,49.150000,270.000000,bottom
"D82","SOD-123","D_SOD-123",180.975000,49.150000,270.000000,bottom
"D83","SOD-123","D_SOD-123",200.025000,49.150000,270.000000,bottom
"D84","SOD-123","D_SOD-123",186.150000,-4.650000,90.000000,bottom
"D85","SOD-123","D_SOD-123",-46.037500,-7.937500,270.000000,bottom
"D86","SOD-123","D_SOD-123",173.831250,11.050000,270.000000,bottom
"D87","SOD-123","D_SOD-123",293.687500,14.350000,90.000000,bottom
"D88","SOD-123","D_SOD-123",277.812500,-4.700000,90.000000,bottom
"D89","SOD-123","D_SOD-123",-90.487500,-27.050000,270.000000,bottom
"D90","SOD-123","D_SOD-123",274.637500,-27.050000,270.000000,bottom
"J1","Conn_01x04_Female","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",209.900000,40.200000,0.000000,bottom
"R4","10K","R_0805_2012Metric",198.150000,-18.662500,90.000000,bottom
"R5","10K","R_0805_2012Metric",218.212913,-14.487087,225.000000,bottom
"SW1","SW_Push","SKQG-1155865",192.500000,-21.600000,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",208.756250,-17.462500,45.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",199.200000,-5.600000,180.000000,bottom
